class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Guild Vault Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Expansion																																																																								
Big Bank Page 1	0	321	220	442	6	8	74	244	82	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	67	122	28	140	55	112	189	244	64	147	55	83	250	306	28	140	56	112	189	244	3	59	55	56	143	168	3	29	25	26	143	168	93	119	25	26	-81	-81	-61	-61	-1	-1	189	244	154	178	55	24	127	182	122	178	55	56	127	182	33	90	55	57
Druid	320	640	0	441	10	9	339	626	122	382	29	29	333	388	5	117	55	112	453	509	3	85	56	82	574	629	4	116	55	112	394	448	5	56	54	51	410	433	64	88	23	24	395	418	92	116	23	24	424	447	92	116	23	24	453	505	92	117	52	25	513	567	65	117	54	52	513	567	3	56	54	53
Assassin	320	640	0	441	10	9	339	626	122	382	29	29	333	388	5	117	55	112	453	509	3	85	56	82	574	629	4	116	55	112	394	448	5	56	54	51	410	433	64	88	23	24	395	418	92	116	23	24	424	447	92	116	23	24	453	505	92	117	52	25	513	567	65	117	54	52	513	567	3	56	54	53
Amazon2	400	720	60	501	10	9	419	706	182	442	29	29	413	468	65	177	55	112	533	589	63	145	56	82	654	709	64	176	55	112	474	528	65	116	54	51	490	513	124	148	23	24	475	498	152	176	23	24	504	527	152	176	23	24	533	585	152	177	52	25	593	647	125	177	54	52	593	647	63	116	54	53
Sorceress2	400	720	60	501	10	9	419	706	182	442	29	29	413	468	65	177	55	112	533	589	63	145	56	82	654	709	64	176	55	112	474	528	65	116	54	51	490	513	124	148	23	24	475	498	152	176	23	24	504	527	152	176	23	24	533	585	152	177	52	25	593	647	125	177	54	52	593	647	63	116	54	53
Necromancer2	400	720	60	501	10	9	419	706	182	442	29	29	413	468	65	177	55	112	533	589	63	145	56	82	654	709	64	176	55	112	474	528	65	116	54	51	490	513	124	148	23	24	475	498	152	176	23	24	504	527	152	176	23	24	533	585	152	177	52	25	593	647	125	177	54	52	593	647	63	116	54	53
Paladin2	400	720	60	501	10	9	419	706	182	442	29	29	413	468	65	177	55	112	533	589	63	145	56	82	654	709	64	176	55	112	474	528	65	116	54	51	490	513	124	148	23	24	475	498	152	176	23	24	504	527	152	176	23	24	533	585	152	177	52	25	593	647	125	177	54	52	593	647	63	116	54	53
Barbarian2	400	720	60	501	10	9	419	706	182	442	29	29	413	468	65	177	55	112	533	589	63	145	56	82	654	709	64	176	55	112	474	528	65	116	54	51	490	513	124	148	23	24	475	498	152	176	23	24	504	527	152	176	23	24	533	585	152	177	52	25	593	647	125	177	54	52	593	647	63	116	54	53
Monster2	80	401	60	502	10	10	96	385	123	412	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1-2	80	401	60	279	10	4	100	385	101	208	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2-2	80	401	280	502	10	4	100	385	315	428	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page2	80	401	280	502	6	4	154	324	333	446	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box2	80	401	280	502	3	4	198	285	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Guild Vault Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Big Bank Page2	80	401	280	502	6	8	154	324	142	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling2	79	79	59	59	-1	-1	79	79	59	59	29	29	147	202	88	200	55	112	269	324	124	207	55	83	330	386	88	200	56	112	269	324	63	119	55	56	223	248	63	89	25	26	223	248	153	179	25	26	-1	-1	-1	-1	-1	-1	269	324	214	238	55	24	207	262	182	238	55	56	207	262	93	150	55	57
Druid2	400	720	60	501	10	9	419	706	182	442	29	29	413	468	65	177	55	112	533	589	63	145	56	82	654	709	64	176	55	112	474	528	65	116	54	51	490	513	124	148	23	24	475	498	152	176	23	24	504	527	152	176	23	24	533	585	152	177	52	25	593	647	125	177	54	52	593	647	63	116	54	53
Assassin2	400	720	60	501	10	9	419	706	182	442	29	29	413	468	65	177	55	112	533	589	63	145	56	82	654	709	64	176	55	112	474	528	65	116	54	51	490	513	124	148	23	24	475	498	152	176	23	24	504	527	152	176	23	24	533	585	152	177	52	25	593	647	125	177	54	52	593	647	63	116	54	53
